province,city,city_code,station,station_code,lon,lat,pm2_5_24h,pubtime
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,114,2020/12/22 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,99,2020/12/23 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,41,2020/12/24 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,77,2020/12/25 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,149,2020/12/26 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,251,2020/12/27 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,94,2020/12/28 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,14,2020/12/29 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,12,2020/12/30 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,36,2020/12/31 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,57,2021/1/1 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,108,2021/1/2 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,61,2021/1/3 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,79,2021/1/4 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,16,2021/1/5 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,28,2021/1/6 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,18,2021/1/7 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,37,2021/1/8 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,38,2021/1/9 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,32,2021/1/10 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,49,2021/1/11 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,75,2021/1/12 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,66,2021/1/13 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,105,2021/1/14 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,63,2021/1/15 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,39,2021/1/16 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,57,2021/1/17 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,34,2021/1/18 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,40,2021/1/19 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,88,2021/1/20 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,137,2021/1/21 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,99,2021/1/22 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,66,2021/1/23 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,112,2021/1/24 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,161,2021/1/25 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,178,2021/1/26 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,125,2021/1/27 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,20,2021/1/28 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,45,2021/1/29 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,91,2021/1/30 0:00
山东省,滨州市,371600,第二水厂,1629A,118.0018,37.3617,130,2021/1/31 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,74,2020/11/1 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,32,2020/11/2 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,22,2020/11/3 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,47,2020/11/4 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,56,2020/11/5 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,66,2020/11/6 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,56,2020/11/7 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,11,2020/11/8 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,30,2020/11/9 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,59,2020/11/10 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,74,2020/11/11 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,67,2020/11/12 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,69,2020/11/13 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,107,2020/11/14 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,151,2020/11/15 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,120,2020/11/16 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,69,2020/11/17 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,17,2020/11/18 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,18,2020/11/19 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,23,2020/11/20 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,19,2020/11/21 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,17,2020/11/22 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,21,2020/11/23 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,60,2020/11/24 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,105,2020/11/25 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,36,2020/11/26 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,18,2020/11/27 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,19,2020/11/28 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,41,2020/11/29 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,40,2020/11/30 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,32,2020/12/1 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,87,2020/12/2 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,21,2020/12/3 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,84,2020/12/4 0:00
山东省,滨州市,371600,北中新校,1630A,117.9776,37.393,154,2020/12/5 0:00
